,1M,3M,6M,1Y,2Y,3Y,5Y,7Y,10Y,30Y
01-01-2010,0.203973713,0.298893886,0.405181508,0.612184239,0.998126773,1.298126904,1.712633703,1.906139478,2.196244205,2.70434048
02-01-2010,0.200266372,0.295168048,0.407117206,0.596877997,0.98432743,1.293628604,1.704531054,1.908653456,2.188980012,2.693042051
03-01-2010,0.211991562,0.293361837,0.407657432,0.585480011,0.979972369,1.294515985,1.695323105,1.911659041,2.184174903,2.690708501
04-01-2010,0.207177909,0.308180063,0.407549454,0.577018324,0.986552728,1.284749236,1.696994014,1.89598168,2.173549414,2.692283391
05-01-2010,0.213085642,0.309551009,0.406624268,0.574609494,0.974724552,1.278990482,1.693308904,1.904438657,2.176298361,2.678179069
06-01-2010,0.215678313,0.306470351,0.401208892,0.579502905,0.982972548,1.286440723,1.686595163,1.901964958,2.178948468,2.68598343
07-01-2010,0.211844919,0.304985079,0.392358212,0.569933252,0.989472755,1.297290643,1.686019082,1.909993222,2.181841556,2.680822472
08-01-2010,0.214736084,0.317289371,0.392071604,0.582450401,0.968514794,1.303865863,1.686715459,1.907601163,2.182575643,2.664921921
09-01-2010,0.212978709,0.320146272,0.403894756,0.578304239,0.962046845,1.299851807,1.694038676,1.910231172,2.178337561,2.669028061
10-01-2010,0.21375533,0.327895432,0.398278332,0.575682942,0.95890998,1.288143687,1.696407638,1.912319614,2.178378469,2.667151363
11-01-2010,0.202432364,0.324530269,0.395536615,0.569264724,0.957619694,1.291376094,1.711497125,1.913716236,2.180438872,2.666555796
12-01-2010,0.187082194,0.324318158,0.396018457,0.588970661,0.956080806,1.293788473,1.711219431,1.904366812,2.189581454,2.67257126
13-01-2010,0.193410449,0.317043059,0.407240812,0.577755852,0.960775663,1.311312118,1.703295141,1.89983643,2.190378665,2.668543455
14-01-2010,0.181005142,0.317591562,0.398742382,0.581544592,0.953420269,1.323711593,1.697029114,1.897259938,2.196886803,2.658696541
15-01-2010,0.182824822,0.328048704,0.385882516,0.583021663,0.955499332,1.329966176,1.687133509,1.886696285,2.201062335,2.661072418
16-01-2010,0.184828764,0.33082029,0.380442318,0.584879692,0.957843911,1.324251365,1.702059705,1.890486949,2.191531907,2.666324847
17-01-2010,0.177031311,0.337116967,0.389711083,0.578314234,0.96555092,1.327553612,1.708636186,1.905661292,2.189568803,2.660294958
18-01-2010,0.169915196,0.330590485,0.389094269,0.581043449,0.967764447,1.334171078,1.708740201,1.917289565,2.187451548,2.682056311
19-01-2010,0.174920534,0.323733224,0.380527129,0.584903229,0.965976745,1.339883082,1.712526102,1.916706934,2.180677198,2.669937533
20-01-2010,0.171348415,0.330584415,0.382239879,0.574937319,0.967362192,1.342965621,1.705455243,1.917936735,2.181142868,2.660793771
21-01-2010,0.174210714,0.335070691,0.390904289,0.583367735,0.956340837,1.335463021,1.709575525,1.922047022,2.185263249,2.691615623
22-01-2010,0.178777838,0.344155216,0.398536303,0.588578865,0.953818683,1.341534775,1.703392923,1.920152473,2.181380341,2.692270616
23-01-2010,0.197295106,0.329217094,0.404026385,0.575677138,0.950043228,1.350246379,1.703907163,1.911530515,2.175657911,2.697707398
24-01-2010,0.191452173,0.330948763,0.404390959,0.570464335,0.967194781,1.355317732,1.687706022,1.91302215,2.17036362,2.704526864
25-01-2010,0.185112007,0.330030872,0.408430858,0.577390377,0.95759241,1.352641722,1.68390646,1.907795516,2.184487253,2.707766718
26-01-2010,0.175024936,0.337373767,0.425408107,0.585650099,0.94543745,1.348767849,1.694041749,1.90213416,2.188037809,2.713963791
27-01-2010,0.167609492,0.336897564,0.399477969,0.577454998,0.943416905,1.338785584,1.70710104,1.890693029,2.184517453,2.715009715
28-01-2010,0.179139678,0.325410667,0.408783279,0.577536862,0.935564835,1.342482411,1.708693517,1.885891294,2.18507587,2.711927206
29-01-2010,0.180047817,0.330707712,0.421471413,0.567634338,0.952629102,1.326865709,1.707479236,1.890597832,2.187323805,2.70694561
30-01-2010,0.178382839,0.326763705,0.416756495,0.574431155,0.955485226,1.321322432,1.714676035,1.893056228,2.193826702,2.711982641
31-01-2010,0.171750879,0.322282257,0.422734844,0.579314117,0.955318014,1.322261051,1.724897355,1.888323657,2.198203481,2.7103651
01-02-2010,0.170009429,0.331072472,0.429338175,0.585822194,0.965761844,1.322429082,1.730352978,1.885841523,2.200796811,2.709323955
02-02-2010,0.170785397,0.335833728,0.422792409,0.602561292,0.957713705,1.312715573,1.739617865,1.892174824,2.20578977,2.714350719
03-02-2010,0.170687423,0.328655693,0.423398846,0.597143999,0.965514663,1.311539114,1.733013888,1.889603738,2.209093222,2.709840923
04-02-2010,0.16410966,0.33060519,0.425358578,0.593088453,0.961746356,1.313395514,1.721429213,1.878344027,2.203345668,2.708133346
05-02-2010,0.16659692,0.34240804,0.432219855,0.591808945,0.961594227,1.305375279,1.721281108,1.876034758,2.205927416,2.701515498
06-02-2010,0.170751692,0.354669951,0.431349774,0.595022639,0.967115379,1.302165515,1.723073848,1.876135497,2.206708825,2.69533142
07-02-2010,0.170947774,0.358653938,0.442958923,0.602696805,0.984340838,1.296026734,1.730052413,1.877602233,2.224227249,2.688865034
08-02-2010,0.164229999,0.353858797,0.425967757,0.598490765,0.978267777,1.297229885,1.732786461,1.8926116,2.231830639,2.684249804
09-02-2010,0.157042681,0.35779415,0.415405891,0.613142435,0.987703298,1.293476479,1.719081384,1.903442579,2.230914321,2.694152335
10-02-2010,0.14428726,0.35299915,0.415447841,0.61351828,0.984102774,1.298459279,1.710540421,1.902303543,2.231876686,2.698267846
11-02-2010,0.149980179,0.344002013,0.403174928,0.623739695,0.986761286,1.292471387,1.722949637,1.90322894,2.241311063,2.698807993
12-02-2010,0.166466163,0.35804474,0.401183214,0.631512262,0.991924294,1.303420439,1.715230249,1.908717352,2.249778459,2.684738078
13-02-2010,0.157000095,0.341730882,0.39902796,0.6372526,1.00394315,1.304013197,1.728259173,1.89767654,2.236151399,2.684293696
14-02-2010,0.160072618,0.341469324,0.382488423,0.63653964,0.993507394,1.309370578,1.731191959,1.890157502,2.232040464,2.675819988
15-02-2010,0.159571185,0.349110463,0.374602615,0.640572012,0.989265333,1.303027595,1.730335717,1.881875563,2.22761127,2.666236965
16-02-2010,0.175288986,0.349392571,0.369004811,0.642283851,0.988366709,1.301259838,1.73524905,1.887935625,2.22336726,2.661630419
17-02-2010,0.173088573,0.330977202,0.356883282,0.653218846,1.001526451,1.29926755,1.739861506,1.890425626,2.247998307,2.670587018
18-02-2010,0.172065232,0.323332879,0.344031712,0.654846555,0.995475645,1.28788952,1.734688923,1.881773242,2.26149544,2.677640136
19-02-2010,0.172001451,0.335172432,0.344650658,0.647956281,1.007660637,1.292200801,1.726390954,1.880250533,2.254490494,2.666577738
20-02-2010,0.179410871,0.350447765,0.333462117,0.652460035,1.002455497,1.288303798,1.721651802,1.873338607,2.254878667,2.659930137
21-02-2010,0.181574526,0.35004586,0.331550533,0.645199526,0.997841326,1.294346927,1.72565914,1.865518165,2.255673325,2.665941234
22-02-2010,0.168219284,0.354392741,0.326249543,0.649764315,0.991735253,1.279907871,1.7126388,1.865902844,2.257751105,2.658706701
23-02-2010,0.173328023,0.341100581,0.325720905,0.640076185,0.986520564,1.28028706,1.705755493,1.8628264,2.265801448,2.654091566
24-02-2010,0.18001356,0.332062926,0.329959338,0.651608734,0.966747408,1.273911898,1.71037207,1.861202037,2.268770615,2.649259685
25-02-2010,0.180706279,0.330817508,0.339301594,0.653644101,0.969448229,1.270616882,1.70647122,1.857741571,2.271926232,2.645891809
26-02-2010,0.183024477,0.347420715,0.346270592,0.651035913,0.979057941,1.267352279,1.690166224,1.849676881,2.256959897,2.643079701
27-02-2010,0.183171824,0.360832213,0.348886011,0.649283109,0.985693185,1.249663197,1.692051141,1.855843803,2.245131207,2.652229733
28-02-2010,0.185879796,0.35750991,0.353948266,0.667448652,0.987148115,1.251648961,1.688376253,1.849045048,2.251773893,2.645381063
01-03-2010,0.186452326,0.35368865,0.357780105,0.670117948,0.995448435,1.24756883,1.686217254,1.841214938,2.248219547,2.648399467
02-03-2010,0.192508235,0.346311328,0.364736952,0.680963051,0.998755914,1.262583197,1.68002694,1.8312577,2.233989785,2.660367821
03-03-2010,0.19774316,0.34586665,0.366976701,0.671959139,1.01832193,1.263616966,1.680902099,1.837063833,2.237837859,2.662158893
04-03-2010,0.191419364,0.349638397,0.382032897,0.682722499,1.031067423,1.259527241,1.67298526,1.836057538,2.238283658,2.670912426
05-03-2010,0.177879647,0.3618748,0.380768834,0.679307451,1.022970588,1.246288387,1.679570625,1.836644082,2.227963971,2.660551795
06-03-2010,0.17519337,0.375226972,0.378692103,0.667282307,1.021004644,1.244106599,1.657995532,1.836209723,2.226116495,2.666121446
07-03-2010,0.189985018,0.384239492,0.376540993,0.6584301,1.041591522,1.244580346,1.658106966,1.836016722,2.227701173,2.664966563
08-03-2010,0.185395722,0.379864621,0.376278967,0.654082702,1.035888756,1.245431788,1.656067148,1.848048666,2.206493415,2.673698618
09-03-2010,0.195364404,0.363277499,0.373537467,0.651111175,1.024628662,1.239209255,1.647182542,1.862066829,2.213978842,2.683871059
10-03-2010,0.20113778,0.354245085,0.369341304,0.655026171,1.01485164,1.244913242,1.645259938,1.859068263,2.219666521,2.687425165
11-03-2010,0.198250051,0.363519723,0.360692798,0.659953656,1.01959645,1.242436871,1.647869002,1.849059354,2.227058738,2.685945948
12-03-2010,0.194068267,0.371911797,0.355058048,0.648685966,1.007143416,1.24728495,1.637625568,1.863097708,2.210403302,2.699517599
13-03-2010,0.195756407,0.371138092,0.350698696,0.651879055,1.006842339,1.256111365,1.638539389,1.864300122,2.207494405,2.699062034
14-03-2010,0.198218821,0.357456745,0.339913212,0.657825167,1.008209262,1.254639498,1.63868686,1.867080776,2.203176327,2.692835596
15-03-2010,0.199785583,0.349629763,0.343179234,0.644204498,1.016442507,1.258420278,1.640735098,1.874942303,2.216500123,2.700950557
16-03-2010,0.185058589,0.339393147,0.338180686,0.644413227,1.020583779,1.252614328,1.642229232,1.86889924,2.21160798,2.689697268
17-03-2010,0.177672723,0.32857967,0.3303737,0.652842361,1.012988588,1.273673384,1.646175776,1.870377929,2.204741118,2.695299747
18-03-2010,0.17306762,0.329555748,0.350854376,0.652073882,1.022182775,1.268047973,1.645895868,1.884544334,2.199725382,2.709799335
19-03-2010,0.178729636,0.325056014,0.355913638,0.659854318,1.027157255,1.255486175,1.64007877,1.882564185,2.199129914,2.714764712
20-03-2010,0.180151244,0.314373259,0.358955221,0.664739004,1.031635578,1.264132421,1.646750147,1.886237626,2.198568588,2.701477025
21-03-2010,0.18358819,0.316034761,0.361127851,0.654525015,1.022987126,1.272557644,1.646433706,1.891689631,2.198795136,2.701715074
22-03-2010,0.19109446,0.311906403,0.361896818,0.650826813,1.019511156,1.270084267,1.648210776,1.887859642,2.208841185,2.694558215
23-03-2010,0.189599487,0.308388555,0.373472641,0.652399251,1.027765912,1.258199784,1.650347178,1.894976689,2.209499456,2.703082058
24-03-2010,0.185461179,0.319663334,0.391863826,0.649496542,1.024201892,1.26982686,1.662983756,1.890793808,2.206137962,2.700827782
25-03-2010,0.174705575,0.312314119,0.383830699,0.643354162,1.023924413,1.271700578,1.67538776,1.882806976,2.214012541,2.699115871
26-03-2010,0.174309865,0.317712674,0.374848923,0.64641344,1.025256031,1.275640188,1.677701109,1.902449377,2.208910621,2.694867895
27-03-2010,0.169324741,0.313268858,0.369749826,0.655925572,1.036620065,1.271074217,1.671042264,1.906220702,2.204492837,2.69993135
28-03-2010,0.170948125,0.301142905,0.382129868,0.670292594,1.031717755,1.267972605,1.673329187,1.908896356,2.209761191,2.716012986
29-03-2010,0.169532548,0.294756527,0.371095314,0.664445153,1.03145274,1.282329068,1.669188297,1.91068666,2.209629808,2.725520132
30-03-2010,0.189748007,0.290509576,0.367179799,0.67279844,1.036907871,1.297102726,1.673859722,1.907812323,2.214355047,2.734389761
31-03-2010,0.196311864,0.294567769,0.375713196,0.682152805,1.047965143,1.302292405,1.672522778,1.908986032,2.224007118,2.727854275
01-04-2010,0.199261251,0.291421058,0.375943155,0.69238042,1.049493936,1.302663898,1.661643929,1.914956061,2.229170992,2.745160313
02-04-2010,0.196799025,0.293174261,0.377938224,0.705000046,1.048731572,1.30489607,1.666507101,1.916448934,2.225599523,2.746713033
03-04-2010,0.205388079,0.284962138,0.379001981,0.69939908,1.058291945,1.292710575,1.662035726,1.919466629,2.238123715,2.746187031
04-04-2010,0.200946483,0.300011395,0.36741787,0.681808632,1.06181206,1.288694141,1.653865863,1.92513348,2.240074121,2.741674402
05-04-2010,0.190704048,0.306991054,0.37261948,0.681015225,1.076585156,1.280133463,1.641661662,1.919598216,2.239709433,2.743621118
06-04-2010,0.188774159,0.309807497,0.362607164,0.692565342,1.075927947,1.28907183,1.644403465,1.923252242,2.244267571,2.747202786
07-04-2010,0.193915941,0.320440717,0.364179334,0.698237372,1.075210061,1.300592767,1.638992326,1.937659765,2.243946307,2.735756585
08-04-2010,0.194940777,0.314992304,0.370904482,0.69301638,1.071640594,1.285476441,1.635373876,1.91826873,2.231275085,2.741839903
09-04-2010,0.201227178,0.318395964,0.363168673,0.692634689,1.071611773,1.276209524,1.647401062,1.925287629,2.229507371,2.742054989
10-04-2010,0.20289424,0.302062085,0.361191254,0.687178815,1.063598813,1.273960722,1.661782554,1.930414372,2.224937939,2.746635652
11-04-2010,0.214089084,0.309459155,0.361668297,0.682003321,1.0691846,1.277108605,1.6689441,1.935495746,2.233334361,2.74235377
12-04-2010,0.224628236,0.311039952,0.378270384,0.676489818,1.08307231,1.278691891,1.663732756,1.931624659,2.230771583,2.745747097
13-04-2010,0.22881092,0.306450352,0.378075547,0.693627981,1.096892656,1.28218248,1.664036784,1.93258491,2.235679726,2.737564757
14-04-2010,0.226751908,0.293101679,0.381269332,0.698805549,1.093027164,1.294774374,1.654230659,1.920869911,2.237475341,2.745941543
15-04-2010,0.240223329,0.289430605,0.389898779,0.698497481,1.091646146,1.301843654,1.659449242,1.908258774,2.249287664,2.756982274
16-04-2010,0.235218828,0.292597033,0.39385102,0.700582871,1.087243704,1.296470667,1.659244809,1.917640606,2.253636465,2.754017359
17-04-2010,0.241392418,0.269808692,0.403041146,0.686665161,1.084344177,1.287513308,1.648887357,1.92692722,2.249894855,2.756789391
18-04-2010,0.241017053,0.273625019,0.403655721,0.676401223,1.092314311,1.283563255,1.636434702,1.923502299,2.261900934,2.763591164
19-04-2010,0.238227836,0.270830957,0.401082641,0.693015207,1.095369795,1.287003588,1.64467697,1.925412612,2.259828596,2.762020366
20-04-2010,0.237655026,0.270533179,0.406903677,0.693430774,1.101230916,1.286357856,1.645306051,1.909427007,2.267159218,2.764792273
21-04-2010,0.245639107,0.247363136,0.423610674,0.692314057,1.110096378,1.278038608,1.650208243,1.900999682,2.262169066,2.780104524
22-04-2010,0.244113647,0.249102599,0.430571216,0.696279512,1.111299729,1.280958296,1.669435567,1.900538732,2.263777859,2.788509759
23-04-2010,0.252957855,0.258598842,0.435681058,0.687135473,1.124367182,1.271787533,1.671856651,1.894504525,2.263264752,2.791139859
24-04-2010,0.255528713,0.261974208,0.448590748,0.690763747,1.122413929,1.27950023,1.681372415,1.884683662,2.268043952,2.796749241
25-04-2010,0.253148205,0.272979862,0.447390304,0.691768359,1.121029354,1.279624863,1.672602214,1.873163255,2.280799993,2.78997355
26-04-2010,0.245217066,0.255752741,0.44227861,0.681183641,1.134165475,1.2877034,1.667097011,1.891182742,2.288654117,2.787374899
27-04-2010,0.22522182,0.274080282,0.43116203,0.668020451,1.142346039,1.307221419,1.678171194,1.895694015,2.293412152,2.794202223
28-04-2010,0.231293249,0.276329813,0.431995639,0.667519706,1.136314322,1.304976018,1.664627539,1.894907298,2.285503423,2.785373509
29-04-2010,0.232732402,0.287465832,0.439342172,0.654955701,1.128397297,1.312502188,1.65676764,1.893110233,2.289903839,2.777626753
30-04-2010,0.233575406,0.276793628,0.43453123,0.657513956,1.115653347,1.316025986,1.656610538,1.897530152,2.291695153,2.788539877
01-05-2010,0.234577202,0.273358383,0.43550961,0.66186034,1.116044228,1.316350719,1.650994604,1.892226945,2.28047431,2.802536491
02-05-2010,0.224626296,0.267815142,0.429762352,0.669019736,1.11368463,1.326332656,1.645606679,1.894458898,2.273791534,2.819697684
03-05-2010,0.215125509,0.270293707,0.434832567,0.672330128,1.112202329,1.32529409,1.645957171,1.893282882,2.281502567,2.837381868
04-05-2010,0.210665575,0.259335284,0.434126311,0.692967803,1.105772932,1.338407025,1.659378778,1.888854176,2.286054431,2.850409041
05-05-2010,0.207632553,0.257706641,0.429472864,0.684849749,1.100578712,1.328615502,1.659651445,1.88269439,2.287924719,2.837961875
06-05-2010,0.210279594,0.264374872,0.413522978,0.687842202,1.110400064,1.318938374,1.673032025,1.886046542,2.282284624,2.837515723
07-05-2010,0.21474621,0.264982916,0.417833026,0.680476813,1.111754951,1.307628658,1.672142216,1.878815281,2.276400384,2.847404468
08-05-2010,0.223476691,0.26985602,0.409094524,0.677945545,1.121459732,1.308762394,1.690696852,1.881961824,2.277936777,2.844931536
09-05-2010,0.224545018,0.268636262,0.414759394,0.685599164,1.115171816,1.29811253,1.676007209,1.886025755,2.269109844,2.827708412
10-05-2010,0.227653647,0.288580258,0.414710826,0.69230709,1.115826451,1.297321413,1.683359821,1.883703558,2.271248983,2.830281994
11-05-2010,0.222308923,0.296516597,0.413311148,0.686261129,1.12011853,1.290133669,1.683585271,1.883630606,2.279936148,2.83407958
12-05-2010,0.222108708,0.303058727,0.424432809,0.690723611,1.120201351,1.279638979,1.675064361,1.881188809,2.27506005,2.83258381
13-05-2010,0.222561907,0.307296269,0.423868819,0.694615624,1.120717146,1.263835246,1.667549678,1.880036108,2.265382492,2.837383239
14-05-2010,0.234807914,0.317046364,0.422161276,0.706541434,1.121906486,1.261138559,1.662642457,1.877616351,2.262277077,2.838746569
15-05-2010,0.236092505,0.317070732,0.425656781,0.716066604,1.129502919,1.249259375,1.642211088,1.88509091,2.251342048,2.836948446
16-05-2010,0.226731601,0.302654889,0.429988483,0.722139845,1.124890836,1.228531037,1.637841132,1.888225342,2.239510755,2.838415325
17-05-2010,0.226609122,0.307289221,0.430945126,0.714355293,1.134463408,1.2272628,1.637622696,1.880759198,2.235964497,2.831336904
18-05-2010,0.225225554,0.320982888,0.419969917,0.701446802,1.146232771,1.225588211,1.632270114,1.889078436,2.231119573,2.845944981
19-05-2010,0.230648961,0.317079597,0.437228382,0.696601083,1.152169533,1.227982551,1.642684044,1.901570525,2.231375606,2.839917638
20-05-2010,0.234328738,0.311657874,0.45333548,0.697693366,1.149246961,1.229459994,1.631907034,1.893797613,2.240978917,2.834662484
21-05-2010,0.22595345,0.315951096,0.462821113,0.703444992,1.157215343,1.223405633,1.620532549,1.905808282,2.238397479,2.83265582
22-05-2010,0.236579003,0.320400936,0.466468216,0.720765011,1.152067197,1.230828354,1.620988654,1.907957021,2.250625226,2.836718506
23-05-2010,0.240885372,0.328980995,0.463548594,0.714051333,1.143708723,1.215097501,1.637438311,1.899131354,2.248855197,2.834504
24-05-2010,0.243344626,0.335506893,0.470432382,0.709386714,1.142371749,1.217358141,1.635448782,1.911990118,2.252782997,2.840383022
25-05-2010,0.248647676,0.344894684,0.471880554,0.699012058,1.145569253,1.212147286,1.631219848,1.91668103,2.262689261,2.840553195
26-05-2010,0.25111834,0.358512403,0.47380658,0.719825523,1.15009333,1.198061184,1.637246581,1.919730298,2.273007283,2.845938645
27-05-2010,0.250010692,0.348718017,0.472134394,0.71302136,1.145449143,1.202769811,1.650605817,1.92288767,2.263440219,2.849495467
28-05-2010,0.259583744,0.343839754,0.471062256,0.713138865,1.139169956,1.207956054,1.649638232,1.926243929,2.256340281,2.8459958
29-05-2010,0.265362795,0.340857089,0.484877967,0.709941776,1.140967434,1.215416781,1.638291306,1.912157459,2.244135031,2.856096473
30-05-2010,0.26094793,0.361322683,0.480363986,0.711418186,1.153304314,1.231465524,1.654783335,1.921824389,2.252327531,2.860836689
31-05-2010,0.267174818,0.356913197,0.473818395,0.71139119,1.151942837,1.2278397,1.660354434,1.92946683,2.253034786,2.872656929
01-06-2010,0.258041305,0.355363922,0.468083817,0.696458898,1.151281391,1.22686572,1.672462032,1.934513324,2.244841292,2.88748967
02-06-2010,0.267809575,0.360020703,0.466271944,0.688783384,1.148303737,1.235575709,1.687538723,1.946859272,2.240930496,2.87853273
03-06-2010,0.268936665,0.345873188,0.468857286,0.687602563,1.144575445,1.222818084,1.691647523,1.942597665,2.231571162,2.855554633
04-06-2010,0.268716546,0.360051201,0.482147359,0.683945793,1.139757748,1.226568278,1.68366044,1.945012001,2.237699804,2.865370099
05-06-2010,0.267915313,0.358421811,0.475123499,0.67733075,1.137945917,1.229507202,1.690969117,1.938586569,2.249641312,2.86320111
06-06-2010,0.267744375,0.352444118,0.455729577,0.684403113,1.143840668,1.227256582,1.691505043,1.942714083,2.237140945,2.858968688
07-06-2010,0.274098492,0.342409802,0.45807804,0.673550459,1.147572108,1.22697145,1.678583988,1.952031997,2.231264213,2.852486669
08-06-2010,0.275703046,0.351598901,0.449951465,0.674043898,1.15100264,1.232516295,1.679995521,1.949095775,2.224643491,2.85317582
09-06-2010,0.267125933,0.328228097,0.453443944,0.681275376,1.132099181,1.224438449,1.684948755,1.965555739,2.224809841,2.847351796
10-06-2010,0.265662762,0.339227109,0.44827623,0.67488184,1.128237233,1.21681182,1.685930117,1.978553166,2.227394475,2.845332968
11-06-2010,0.263328272,0.326721582,0.455341109,0.674259143,1.126793393,1.242356681,1.688320141,1.972538838,2.223983614,2.854520534
12-06-2010,0.264234435,0.315215358,0.46269494,0.66891399,1.141779776,1.250997065,1.684741565,1.982786969,2.224526458,2.861342723
